name,state,address,phone,type,lat,lon,photo,opening_event,
Aix-en-Provence,Provence-Alpes-Côte d'Azur,,,office,43.529742,5.447427,,https://www.facebook.com/groups/752419575099262/,
Agen,Nouvelle-Aquitaine,,,office,44.2015624,0.6176324,,https://www.facebook.com/groups/442770619582769/,
Ajaccio,Corse,,,office,41.919229,8.738635,,https://www.facebook.com/groups/340992776659275/,
Albi,Tarn,,,office,43.9250853,2.1486413,,https://www.facebook.com/groups/568512636941667/,
Amiens,Hauts-de-France,,,office,49.894067,2.295753,,https://www.facebook.com/groups/532539170538018/,
Angoulême,Nouvelle-Aquitaine,,,office,45.648377,0.1562369,,https://www.facebook.com/groups/1949599095083984/,
Annecy,,,,office,45.899247,6.129384,,https://www.facebook.com/groups/2117664198255333,
Arles,,,,office,43.676647,4.6277769,,https://www.facebook.com/groups/2375359032490622/,
Arras,,,,office,50.291002,2.777535,,https://www.facebook.com/groups/562641887498190,
Aubenas,Auvergne-Rhône-Alpes,,,office,44.620909,4.389863,,https://www.facebook.com/groups/716116728721202/,
Angers,Pays de la Loire,,,office,47.4711616,-0.5518257,,https://www.facebook.com/groups/246118979440048/,
Antibes,,,,office,43.580418,7.125102,,https://www.facebook.com/groups/1116562681834344/,
Auxerre,,,,office,47.798202,3.573781,,https://www.facebook.com/groups/1939139509495940/,
Avignon,Provence-Alpes-Côte d'Azur,,,office,43.949317,4.805528,,https://www.facebook.com/groups/343399629734843/,
Bayonne,,,,office,40.6687141,-74.1143091,,https://www.facebook.com/groups/435056820232214/,
Belfort,,,,office,39.0002934,-77.4318392,,https://www.facebook.com/groups/302615960467770/,
Belley,,,,office,45.76096,5.686346,,https://www.facebook.com/groups/470852206760706/,
Bergerac,,,,office,37.7714444,-122.4137329,,https://www.facebook.com/groups/1673503329446157/,
Besancon,,,,office,47.237829,6.0240539,,https://www.facebook.com/groups/1693163844127768/,
Blois,,,,office,47.5860921,1.3359475,,https://www.facebook.com/groups/478284922657590/,
Bordeaux,Nouvelle-Aquitaine,,,office,44.837789,-0.57918,,https://www.facebook.com/groups/225233498347115/,
Bourges,,,,office,47.081012,2.398782,,https://www.facebook.com/groups/1492453120899089/,
Bourg en Bresse,,,,office,46.2051675,5.2255007,,https://www.facebook.com/groups/274506313182132/,
Brest,Bretagne,,,office,48.390394,-4.486076,,https://www.facebook.com/groups/446505255845901/,
Caen,Normandie,,,office,49.182863,-0.370679,,https://www.facebook.com/groups/560205461085647/,
Cergy,Île-de-France,,,office,49.035617,2.060325,,https://www.facebook.com/groups/921518711371592/,
Chambery,,,,office,45.564601,5.917781,,https://www.facebook.com/groups/1331706390304883/,
Châlons sur saone,,,,office,46.780764,4.853947,,https://www.facebook.com/groups/2114424548821686/,
Charleville-Mezieres,,,,office,49.762085,4.726096,,https://www.facebook.com/groups/649308522136972/,
Chartres,,,,office,48.443854,1.489012,,https://www.facebook.com/groups/523779754752532/,
chateauroux,,,,office,46.811434,1.686779,,https://www.facebook.com/groups/1983159218389164/,
Cherbourg,,,,office,49.6337308,-1.622137,,https://www.facebook.com/groups/314198069390728,
Clermont-Ferrand,Auvergne-Rhône-Alpes,,,office,45.777222,3.087025,,https://www.facebook.com/groups/475770939609031/,
Concarneau,,,,office,47.872834,-3.920734,,https://www.facebook.com/groups/484015462107245/,
Dijon,,,,office,47.322047,5.04148,,https://www.facebook.com/groups/Groupe.CItoyen.Dijon.Marche.Pour.Le.Climat/,
Epinal,,,,office,48.172402,6.449403,,https://www.facebook.com/groups/927990110730312/,
grasse,,,,office,43.660153,6.926492,,https://www.facebook.com/groups/1049975788498392/,
Grenoble,Auvergne-Rhône-Alpes,,,office,45.188529,5.724524,,https://www.facebook.com/groups/326304297943465/,
La lozere,,,,office,44.494203,3.5812692,,https://www.facebook.com/groups/2333629980000234/,
La Roche sur Yon,,,,office,46.670511,-1.426442,,https://www.facebook.com/groups/553868841710620/,
La Rochelle,France,,,office,46.160329,-1.151139,,https://www.facebook.com/groups/165604677687094/,
Le Havre,,,,office,49.49437,0.107929,,https://www.facebook.com/groups/682066348839013/,
Le Mans,,,,office,48.00611,0.199556,,https://www.facebook.com/groups/244485502900068/,
Lille,Hauts-de-France,,,office,50.62925,3.057256,,https://www.facebook.com/groups/1102657336565121/,
Ensemble pour le climat,Hauts-de-France,,,office,50.1014,3.91254,,https://www.facebook.com/ensemblepourleclimat.hdf/,
Limoges,,,,office,45.833619,1.261105,,https://www.facebook.com/groups/355618878513609/,
Lons Le Saulnier,,,,office,46.671361,5.550796,,https://www.facebook.com/groups/541532316304855/,
Lyon,Auvergne-Rhône-Alpes,,,office,45.764043,4.835659,,https://www.facebook.com/groups/2162148954111090/,
Marseille,Provence-Alpes-Côte d'Azur,,,office,43.296482,5.36978,,https://www.facebook.com/groups/257445308243268/,
Melun,,,,office,48.542105,2.6554,,https://www.facebook.com/groups/320893728721905/,
Metz,Grand-Est,,,office,49.1193089,6.1757156,,https://www.facebook.com/groups/metzmarchepourleclimat/,
Montbeliard,,,,office,47.510356,6.798466,,https://www.facebook.com/groups/925004984352728/,
Montelimar,,,,office,44.556944,4.749496,,https://www.facebook.com/groups/717347305290318/,
Montpellier,Occitanie,,,office,43.610769,3.876716,,https://www.facebook.com/groups/333157034094570/,
Morlaix,,,,office,48.577613,-3.828228,,https://www.facebook.com/groups/296650937597577/,
Moulins,,,,office,46.568059,3.334417,,https://www.facebook.com/groups/2120866941575984/,
Mulhouse,,,,office,47.750839,7.335888,,https://www.facebook.com/groups/321931061718753/,
Nancy,,,,office,37.09024,-95.712891,,https://www.facebook.com/groups/1380174345446007/,
Nantes,Pays de la Loire,,,office,47.218371,-1.553621,,https://www.facebook.com/groups/2535939826675715/,
Nantes,Pays de la Loire,,,office,47.218371,-1.553621,,https://www.facebook.com/nonaturenofuture/,
