"name","state","address","phone","type","lat","lon","photo","opening_event"
"Aix-en-Provence","Provence-Alpes-Côte d'Azur",,,"office",43.5283,5.4497,,"https://www.facebook.com/groups/752419575099262/"
"Amiens","Hauts-de-France",,,"office",49.9,2.3,,"https://www.facebook.com/groups/532539170538018/"
"Angoulême","Nouvelle-Aquitaine",,,"office",45.65,0.15,,"https://www.facebook.com/groups/1949599095083984/"
"Aubenas","Auvergne-Rhône-Alpes",,,"office",44.6201,4.3899,,"en attente"
"Angers","Pays de la Loire",,,"office",47.4667,-0.55,,"https://www.facebook.com/groups/246118979440048/"
"Avignon","Provence-Alpes-Côte d'Azur",,,"office",43.9483,4.8089,,"https://www.facebook.com/groups/343399629734843/"
"Bordeaux","Nouvelle-Aquitaine",,,"office",44.8404,-0.5805,,"https://www.facebook.com/groups/225233498347115/"
"Brest","Bretagne",,,"office",48.3903,-4.4863,,"https://www.facebook.com/groups/446505255845901/"
"Caen","Normandie",,,"office",49.1859,-0.3591,,"https://www.facebook.com/groups/560205461085647/"
"Cergy","Île-de-France",,,"office",49.0364,2.0761,,"https://www.facebook.com/groups/921518711371592/"
"Clermont-Ferrand","Auvergne-Rhône-Alpes",,,"office",45.7797,3.0863,,"https://www.facebook.com/groups/475770939609031/"
"Grenoble","Auvergne-Rhône-Alpes",,,"office",45.1667,5.7167,,"https://www.facebook.com/groups/326304297943465/"
"Lille","Hauts-de-France",,,"office",50.633,3.0586,,"https://www.facebook.com/groups/1102657336565121/"
"Lyon","Auvergne-Rhône-Alpes",,,"office",45.7676,4.8345,,"https://www.facebook.com/groups/384895322048484/"
"Marseille","Provence-Alpes-Côte d'Azur",,,"office",43.2969,5.3811,,"https://www.facebook.com/groups/257445308243268/"
"Metz","Grand-Est",,,"office",49.1191,6.1727,,"https://www.facebook.com/groups/metzmarchepourleclimat/"
"Sainte-Marie","Bourgogne-Franche-Comté",,,"office",47.5082,6.6965,,"https://www.facebook.com/groups/925004984352728/"
"Montpellier","Occitanie",,,"office",43.6109,3.8772,,"https://www.facebook.com/groups/333157034094570/"
"Nantes","Pays de la Loire",,,"office",47.2173,-1.5534,,"https://www.facebook.com/groups/2535939826675715/"
"Nantes","Pays de la Loire",,,"office",47.2173,-1.5534,,"https://www.facebook.com/nonaturenofuture/"
"Nice","Provence-Alpes-Côte d'Azur",,,"office",43.7031,7.2661,,"https://www.facebook.com/groups/2191572187725963/"
"Paris","Île-de-France",,,"office",48.8534,2.3488,,"https://www.facebook.com/groups/1971032459585138/"
"Pau","Nouvelle-Aquitaine",,,"office",43.3,-0.3667,,"https://www.facebook.com/groups/238563246761237/"
"Rennes","Bretagne",,,"office",48.112,-1.6743,,"en attente"
"Reims","Grand-Est",,,"office",49.25,4.0333,,"https://www.facebook.com/groups/556380481460070/"
"Rouen","Normandie",,,"office",49.4431,1.0993,,"https://www.facebook.com/groups/271172083511190/"
"Saint-Brieuc","Bretagne",,,"office",48.5151,-2.7684,,"https://www.facebook.com/groups/327948451105499/"
"Saint-Malo","Bretagne",,,"office",48.65,-2.0167,,"https://www.facebook.com/groups/237189250288743/"
"Strasbourg","Grand-Est",,,"office",48.5839,7.7455,,"en attente"
"Toulouse","Occitanie",,,"office",43.6043,1.4437,,"https://www.facebook.com/groups/302720110320038/"
"Tours","Centre",,,"office",47.3833,0.6833,,"https://www.facebook.com/groups/326649817910562/"
"Versailles","Île-de-France",,,"office",48.8,2.1333,,"https://www.facebook.com/groups/475631972942937/"
